 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
223,3,1,3,3,12,6.771,1,0,13.071
224,1,0,2,0,6,8.657,0,0,8.657
225,1,0,2,0,4,5.414,0,0,5.414
226,3,1,3,1,14,7.657,1,0,18.142
227,1,0,2,0,2,3.414,0,0,3.414
228,2,1,1,4,3,3.121,1,0,3.414
229,1,0,2,0,5,7.243,0,0,7.243
230,0,0,1,0,0,0.000,0,0,0.000
231,1,0,2,0,1,2.414,0,0,2.414
232,0,0,1,0,0,0.000,0,0,0.000
233,1,0,2,0,2,3.000,0,0,3.000
234,1,0,2,0,0,1.000,0,0,1.000
235,1,0,2,0,4,5.828,0,0,5.828
236,0,0,1,0,0,0.000,0,0,0.000
237,1,0,2,0,3,4.828,0,0,4.828
238,1,0,2,0,1,2.414,0,0,2.414
239,1,0,2,0,0,1.414,0,0,1.414
240,1,0,2,0,2,3.828,0,0,3.828
241,3,1,3,3,4,3.690,1,0,4.828
242,1,0,2,0,0,1.000,0,0,1.000
243,1,0,2,0,0,1.414,0,0,1.414
244,1,0,2,0,0,1.414,0,0,1.414
245,1,0,2,0,11,14.899,0,0,14.899
246,1,0,2,0,2,3.414,0,0,3.414
247,1,0,2,0,3,4.828,0,0,4.828
248,1,0,2,0,0,1.414,0,0,1.414
249,0,0,1,0,0,0.000,0,0,0.000
250,3,1,3,3,23,11.266,1,0,15.314
251,1,0,2,0,1,2.000,0,0,2.000
252,1,0,2,0,17,21.314,0,0,21.314
253,1,0,2,0,3,4.414,0,0,4.414
254,1,0,2,0,1,2.000,0,0,2.000
255,0,0,1,0,0,0.000,0,0,0.000
256,1,0,2,0,7,9.657,0,0,9.657
257,1,0,2,0,5,7.243,0,0,7.243
258,1,0,2,0,13,16.485,0,0,16.485
259,1,0,2,0,3,4.828,0,0,4.828
260,1,0,2,0,3,4.414,0,0,4.414
261,1,0,2,0,1,2.828,0,0,2.828
262,1,0,2,0,22,27.971,0,0,27.971
263,1,0,2,0,3,4.414,0,0,4.414
264,1,0,2,0,6,8.243,0,0,8.243
265,1,0,2,0,1,2.414,0,0,2.414
266,1,0,2,0,0,1.000,0,0,1.000
267,1,0,2,0,0,1.414,0,0,1.414
268,10,5,4,14,28,5.269,4,1,10.236
269,1,0,2,0,2,3.828,0,0,3.828
270,1,0,2,0,26,27.000,0,0,27.000
271,1,0,2,0,8,11.485,0,0,11.485
272,1,0,2,0,5,7.243,0,0,7.243
273,1,0,2,0,2,3.414,0,0,3.414
274,3,1,3,3,1,2.276,1,0,3.414
275,3,1,3,3,11,6.576,1,0,8.657
276,1,0,2,0,9,10.828,0,0,10.828
277,1,0,2,0,0,1.000,0,0,1.000
278,1,0,2,0,0,1.000,0,0,1.000
279,1,0,2,0,1,2.828,0,0,2.828
280,0,0,1,0,0,0.000,0,0,0.000
281,1,0,2,0,3,4.414,0,0,4.414
282,1,0,2,0,0,1.000,0,0,1.000
283,3,1,3,3,8,4.886,1,0,7.828
284,3,1,3,3,6,4.495,1,0,7.657
285,1,0,2,0,2,3.414,0,0,3.414
286,1,0,2,0,0,1.414,0,0,1.414
