 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
156,1,0,2,0,1,2.000,0,0,2.000
157,3,1,3,3,2,2.609,1,0,3.414
158,1,0,2,0,8,9.414,0,0,9.414
159,1,0,2,0,0,1.414,0,0,1.414
160,0,0,1,0,0,0.000,0,0,0.000
161,1,0,2,0,1,2.000,0,0,2.000
162,1,0,2,0,0,1.000,0,0,1.000
163,1,0,2,0,6,7.414,0,0,7.414
164,3,1,2,2,4,2.471,0,1,5.414
165,1,0,2,0,5,7.243,0,0,7.243
166,1,0,2,0,2,3.414,0,0,3.414
167,3,1,3,1,23,9.909,1,0,16.485
168,3,1,3,1,18,8.852,1,0,21.314
169,1,0,2,0,4,6.243,0,0,6.243
170,1,0,2,0,6,7.828,0,0,7.828
171,1,0,2,0,0,1.000,0,0,1.000
172,1,0,2,0,1,2.414,0,0,2.414
173,1,0,2,0,8,10.657,0,0,10.657
174,1,0,2,0,0,1.000,0,0,1.000
175,1,0,2,0,0,1.000,0,0,1.000
176,1,0,2,0,3,4.414,0,0,4.414
177,3,1,2,2,8,4.219,0,1,7.828
178,1,0,2,0,1,2.414,0,0,2.414
179,1,0,2,0,3,4.828,0,0,4.828
180,1,0,2,0,7,9.657,0,0,9.657
181,1,0,2,0,0,1.000,0,0,1.000
182,1,0,2,0,1,2.828,0,0,2.828
183,5,2,4,6,21,6.911,2,0,10.243
184,0,0,1,0,0,0.000,0,0,0.000
185,1,0,2,0,6,7.828,0,0,7.828
186,1,0,2,0,3,4.414,0,0,4.414
187,1,0,2,0,5,6.000,0,0,6.000
188,1,0,2,0,2,3.414,0,0,3.414
189,1,0,2,0,0,1.414,0,0,1.414
190,3,1,3,4,24,11.933,1,0,19.728
191,1,0,2,0,6,7.000,0,0,7.000
192,0,0,1,0,0,0.000,0,0,0.000
193,5,2,4,7,10,4.628,2,0,6.243
194,7,3,5,12,40,8.922,3,0,19.071
195,1,0,2,0,3,5.243,0,0,5.243
196,1,0,2,0,11,14.899,0,0,14.899
197,1,0,2,0,26,30.314,0,0,30.314
198,1,0,2,0,0,1.000,0,0,1.000
199,1,0,2,0,7,9.243,0,0,9.243
200,1,0,2,0,3,4.828,0,0,4.828
201,1,0,2,0,1,2.828,0,0,2.828
202,3,1,3,1,9,4.966,1,0,7.657
203,0,0,1,0,0,0.000,0,0,0.000
204,1,0,2,0,17,21.728,0,0,21.728
205,1,0,2,0,5,7.243,0,0,7.243
206,3,1,3,3,16,7.828,1,0,17.071
207,5,2,3,6,26,7.711,1,1,15.071
208,0,0,1,0,0,0.000,0,0,0.000
209,1,0,2,0,0,1.000,0,0,1.000
210,1,0,2,0,3,5.243,0,0,5.243
211,1,0,2,0,0,1.000,0,0,1.000
212,1,0,2,0,0,1.414,0,0,1.414
213,8,4,3,12,46,8.639,3,1,38.971
214,1,0,2,0,1,2.414,0,0,2.414
215,1,0,2,0,2,4.243,0,0,4.243
216,1,0,2,0,3,4.414,0,0,4.414
217,1,0,2,0,3,4.414,0,0,4.414
218,3,1,3,1,12,6.852,1,0,15.314
219,1,0,2,0,4,5.000,0,0,5.000
220,0,0,1,0,0,0.000,0,0,0.000
221,1,0,2,0,0,1.414,0,0,1.414
222,1,0,2,0,3,4.414,0,0,4.414
223,1,0,2,0,26,27.000,0,0,27.000
224,1,0,2,0,0,1.000,0,0,1.000
225,1,0,2,0,0,1.414,0,0,1.414
226,1,0,2,0,2,3.828,0,0,3.828
227,1,0,2,0,0,1.414,0,0,1.414
228,1,0,2,0,1,2.828,0,0,2.828
229,1,0,2,0,0,1.000,0,0,1.000
230,0,0,1,0,0,0.000,0,0,0.000
231,1,0,2,0,0,1.414,0,0,1.414
232,1,0,2,0,0,1.414,0,0,1.414
233,1,0,2,0,0,1.000,0,0,1.000
234,1,0,2,0,5,6.414,0,0,6.414
235,1,0,2,0,0,1.000,0,0,1.000
